code,n_rows_total,n_turbines_seen,first_seen,last_seen,years_seen,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,median_duration_s,share_rows_with_TimeOff,is_documented,description,stopping
2123,14,4,2021-04-23 07:10:09,2024-06-21 06:12:33,2021;2023;2024,0,0,0,0,0,5,0,7,2,0,0,453.5,1.0,0,,
2124,284,21,2016-03-01 12:43:21,2026-04-28 12:41:03,2016-2026,19,19,29,30,26,20,21,35,26,56,3,22.0,1.0,0,,
2131,1,1,2023-08-04 12:18:28,2023-08-04 12:18:28,2023,0,0,0,0,0,0,0,1,0,0,0,2.0,1.0,0,,
2132,6,3,2017-02-23 12:52:17,2023-08-04 12:22:08,2017;2019;2023,0,1,0,3,0,0,0,2,0,0,0,3.0,1.0,0,,
2133,5,2,2017-02-22 17:20:17,2023-08-04 12:18:22,2017;2023,0,4,0,0,0,0,0,1,0,0,0,130.0,1.0,0,,
2134,13,3,2017-02-22 17:20:17,2023-08-04 12:20:42,2017;2019;2023,0,4,0,7,0,0,0,2,0,0,0,120.0,1.0,0,,
2200,107,12,2020-03-02 15:00:02,2025-10-01 12:04:43,2020;2021;2022;2024;2025,0,0,0,0,13,14,67,0,8,5,0,490.0,0.9533,0,,
2260,8,6,2017-04-11 18:06:19,2025-08-04 11:49:55,2017;2018;2020;2022;2023;2025,0,2,1,0,1,0,1,1,0,2,0,1800.0,1.0,0,,
2700,363,6,2016-07-22 11:53:33,2026-03-02 09:45:57,2016-2026,1,1,61,33,49,93,66,16,22,16,5,78.0,1.0,0,,
2701,17,17,2024-10-01 14:02:41,2024-10-22 08:50:12,2024,0,0,0,0,0,0,0,0,17,0,0,181.0,1.0,0,,
3102,12,1,2022-07-10 15:03:08,2022-08-29 08:43:48,2022,0,0,0,0,0,0,12,0,0,0,0,902.0,1.0,0,,
3103,138,20,2016-10-04 15:03:31,2026-04-20 13:26:08,2016-2026,39,14,20,6,12,24,8,8,2,4,1,42.0,1.0,0,,
3104,127,20,2016-10-04 14:56:38,2026-04-20 13:26:08,2016-2026,42,14,20,6,12,11,8,7,2,4,1,39.0,1.0,0,,
3105,132,20,2016-10-04 14:56:38,2026-04-20 13:26:08,2016-2026,41,15,20,6,12,15,8,7,2,5,1,38.0,1.0,0,,
3107,36,2,2016-08-01 19:33:25,2022-09-28 10:50:45,2016;2018;2022,12,0,18,0,0,0,6,0,0,0,0,258.5,1.0,0,,
3108,9,1,2022-03-01 18:42:22,2022-03-04 09:51:20,2022,0,0,0,0,0,0,9,0,0,0,0,103.0,1.0,0,,
3109,13,5,2017-07-13 09:14:54,2022-09-28 10:30:59,2017;2019;2020;2021;2022,0,2,0,3,1,5,2,0,0,0,0,204.0,1.0,0,,
3110,36,6,2016-08-02 04:31:34,2022-09-28 10:30:32,2016-2022,9,4,8,5,1,4,5,0,0,0,0,931.0,1.0,0,,
3111,19,7,2017-07-13 08:12:02,2022-09-28 10:33:04,2017;2018;2020;2021;2022,0,1,4,0,5,4,5,0,0,0,0,874.0,1.0,0,,
3115,50,16,2017-05-01 13:00:05,2025-09-29 13:00:07,2017;2019;2020;2021;2022;2023;2024;2025,0,2,0,4,6,13,7,1,10,7,0,685482.5,0.96,0,,
3116,44,16,2017-04-24 13:00:08,2026-02-02 13:00:08,2017;2019;2020;2021;2022;2023;2024;2025;2026,0,2,0,3,5,10,5,1,9,8,1,681134.0,0.9545,0,,
3117,43,16,2017-04-24 13:00:08,2025-09-29 13:00:07,2017;2019;2020;2021;2022;2024;2025,0,2,0,4,6,10,4,0,10,7,0,683342.0,0.9535,0,,
3118,577,21,2016-04-18 11:45:01,2026-02-13 13:52:29,2016-2026,17,65,36,35,78,143,109,10,47,34,3,1415.0,0.9896,0,,
3120,10,1,2018-01-21 11:21:01,2018-01-21 11:25:01,2018,0,0,10,0,0,0,0,0,0,0,0,8.5,1.0,0,,
3122,10,8,2018-01-21 11:22:04,2025-10-12 10:17:24,2018;2020;2022;2023;2025,0,0,3,0,3,0,2,1,0,1,0,827.0,1.0,0,,
3123,56,13,2016-04-13 13:23:55,2022-09-29 16:40:18,2016;2017;2018;2019;2021;2022,7,14,18,6,0,9,2,0,0,0,0,919.0,1.0,0,,
3124,80,14,2016-02-01 23:43:48,2022-09-29 16:40:18,2016-2022,12,25,14,21,1,5,2,0,0,0,0,598.0,1.0,0,,
3125,73,13,2016-04-18 11:32:37,2023-03-20 09:56:44,2016-2023,9,12,20,7,1,19,2,3,0,0,0,537.0,1.0,0,,
3126,365,21,2016-01-29 11:25:47,2026-03-25 17:13:38,2016-2026,49,74,46,32,25,48,61,12,3,10,5,326.0,1.0,0,,
3127,350,21,2016-01-29 07:28:49,2026-02-18 11:57:29,2016-2026,53,17,33,82,37,44,66,7,1,9,1,345.0,1.0,0,,
3128,303,21,2016-01-29 11:25:47,2026-03-08 12:03:01,2016-2026,50,22,35,29,21,64,58,13,1,8,2,339.0,1.0,0,,
3130,15079,21,2016-01-01 06:57:48,2026-04-29 20:14:15,2016-2026,1494,1457,1485,1495,1473,1401,1412,1482,1467,1445,468,197.0,0.9999,1,Pitch lubrication,1
3133,1,1,2021-09-06 14:10:02,2021-09-06 14:10:02,2021,0,0,0,0,0,1,0,0,0,0,0,776.0,1.0,0,,
3140,144,20,2016-04-18 11:36:40,2025-10-08 12:58:35,2016-2025,5,8,40,24,19,25,10,7,3,3,0,288.0,1.0,0,,
3144,21,7,2017-07-13 09:07:45,2021-09-08 11:41:21,2017-2021,0,3,9,3,1,5,0,0,0,0,0,881.0,1.0,0,,
3145,13,5,2017-07-13 09:08:06,2021-09-06 14:28:20,2017;2018;2019;2021,0,2,3,4,0,4,0,0,0,0,0,47.0,1.0,0,,
3146,19,6,2018-04-20 10:26:17,2021-09-06 14:28:19,2018-2021,0,0,4,1,1,13,0,0,0,0,0,139.0,1.0,0,,
3147,26,2,2017-11-16 05:10:15,2025-12-09 23:51:38,2017;2018;2022;2025,0,2,19,0,0,0,1,0,0,4,0,195.0,1.0,0,,
3148,2,1,2018-06-19 09:10:08,2020-12-09 01:24:52,2018;2020,0,0,1,0,1,0,0,0,0,0,0,17403.5,1.0,0,,
3149,15,2,2016-03-27 00:33:39,2020-09-09 07:21:58,2016;2017;2018;2020,2,1,6,0,6,0,0,0,0,0,0,12143.0,1.0,0,,
3159,4,2,2017-08-29 13:08:34,2018-06-10 10:41:57,2017-2018,0,2,2,0,0,0,0,0,0,0,0,646.0,1.0,0,,
3160,11,3,2017-08-29 13:08:34,2021-09-06 14:39:51,2017;2018;2021,0,2,2,0,0,7,0,0,0,0,0,141.0,1.0,0,,
3161,18,4,2017-08-29 13:08:34,2023-03-20 12:44:40,2017;2018;2021;2023,0,2,2,0,0,12,0,2,0,0,0,78.5,1.0,0,,
3171,2129,21,2016-02-01 14:32:04,2026-04-29 11:23:00,2016-2026,109,85,287,229,239,251,231,195,267,193,43,422.5,0.9995,0,,
