variant_id,variant_type,n_slots_flipped,flips_applied,messages_flipped,n_events,E_mwh,unwarned_pct_E,short_lead_pct_E,actionable_unacted_pct_E,warned_pct_E,warned_n_events,warned_E_mwh,actionable_n_events,actionable_E_mwh,converter_n_events,converter_E_mwh,converter_same_warned_pct_E,converter_same_warned_n,big_event_bucket,big_event_same_warn,big_event_lead_h,big_event_same_n,delta_actionable_pp,rationale_quotes,is_frozen,is_adverse_joint,is_max_joint
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|warning:Cable overload->electrical,4213,9386.501584975991,86.229085719374,8.427796896609737,5.343117384016268,13.770914280626004,1000,1292.607087216645,708,501.5317979378147,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.18505210983904,,False,False,False
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|high_yaw_load:yaw->external,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:High yaw load->external,4213,9386.501584975991,86.229085719374,8.427796896609737,5.343117384016268,13.770914280626004,1000,1292.607087216645,708,501.5317979378147,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.18505210983904,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|high_yaw_load:yaw->external|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:High yaw load->external|warning:Cable overload->electrical,4213,9386.501584975991,86.229085719374,8.427796896609737,5.343117384016268,13.770914280626004,1000,1292.607087216645,708,501.5317979378147,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.18505210983904,,False,False,False
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->pitch,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->pitch,4213,9386.501584975991,86.14409136646087,8.427796896609737,5.428111736929423,13.855908633539158,1001,1300.5850834999783,709,509.509794221148,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.100057756925885,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->pitch|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->pitch|warning:Cable overload->electrical,4213,9386.501584975991,86.14409136646087,8.427796896609737,5.428111736929423,13.855908633539158,1001,1300.5850834999783,709,509.509794221148,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.100057756925885,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->pitch|high_yaw_load:yaw->external,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->pitch|stop:High yaw load->external,4213,9386.501584975991,86.14409136646087,8.427796896609737,5.428111736929423,13.855908633539158,1001,1300.5850834999783,709,509.509794221148,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.100057756925885,,False,False,False
joint_7slots,joint,7,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->pitch|high_yaw_load:yaw->external|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->pitch|stop:High yaw load->external|warning:Cable overload->electrical,4213,9386.501584975991,86.14409136646087,8.427796896609737,5.428111736929423,13.855908633539158,1001,1300.5850834999783,709,509.509794221148,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.100057756925885,,False,False,False
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->brake_hydraulic,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->brake_hydraulic,4213,9386.501584975991,86.13940898254151,8.4293200282593,5.431270989199203,13.8605910174585,1003,1301.024595540782,710,509.80633748552435,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.096898504656105,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->brake_hydraulic|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->brake_hydraulic|warning:Cable overload->electrical,4213,9386.501584975991,86.13940898254151,8.4293200282593,5.431270989199203,13.8605910174585,1003,1301.024595540782,710,509.80633748552435,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.096898504656105,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->brake_hydraulic|high_yaw_load:yaw->external,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->brake_hydraulic|stop:High yaw load->external,4213,9386.501584975991,86.13940898254151,8.4293200282593,5.431270989199203,13.8605910174585,1003,1301.024595540782,710,509.80633748552435,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.096898504656105,,False,False,False
joint_7slots,joint,7,brake_resistor_chp:pitch->converter|time_sync:external->control|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->brake_hydraulic|high_yaw_load:yaw->external|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->brake_hydraulic|stop:High yaw load->external|warning:Cable overload->electrical,4213,9386.501584975991,86.13940898254151,8.4293200282593,5.431270989199203,13.8605910174585,1003,1301.024595540782,710,509.80633748552435,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.096898504656105,,False,False,False
joint_3slots,joint,3,brake_resistor_chp:pitch->converter|time_sync:external->control|cms_drivetrain:comms->drivetrain,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain,4213,9386.501584975991,83.54803166031175,8.436602991616368,8.015365348071892,16.451968339688257,1028,1544.2642689645868,728,752.3623954383845,977,1741.3485003248225,4.327733408394787,28,actionable_unacted,True,46.393055555555556,3,0.4871958542165844,,False,False,False
joint_4slots,joint,4,brake_resistor_chp:pitch->converter|time_sync:external->control|cms_drivetrain:comms->drivetrain|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Check time synchronization->control|warning:Time sync. failed (SNTP error)->control|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|warning:Cable overload->electrical,4213,9386.501584975991,83.54803166031175,8.436602991616368,8.015365348071892,16.451968339688257,1028,1544.2642689645868,728,752.3623954383845,977,1741.3485003248225,4.327733408394787,28,actionable_unacted,True,46.393055555555556,3,0.4871958542165844,,False,False,False
