event_id,farm,turbine,start,duration_h,lost_energy_mwh,planned_charge_mwh_p50,planned_charge_mwh_p75,recoverable_mwh_p50,recoverable_mwh_p75,clipped_p50,clipped_p75,zero_energy
172,kelmarsh,K01,2022-04-14 06:53:59,0.020556,0.0,0.0,0.0,0.0,0.0,False,False,True
173,kelmarsh,K01,2022-04-14 06:58:50,0.041667,0.0,0.0,0.0,0.0,0.0,False,False,True
174,kelmarsh,K01,2022-04-14 07:02:51,0.025278,0.0,0.0,0.0,0.0,0.0,False,False,True
175,kelmarsh,K01,2022-04-14 07:05:27,0.0375,0.0,0.0,0.0,0.0,0.0,False,False,True
176,kelmarsh,K01,2022-04-14 07:12:17,0.666944,0.0,0.0,0.0,0.0,0.0,False,False,True
177,kelmarsh,K01,2022-04-15 02:59:32,0.036944,0.0,0.0,0.0,0.0,0.0,False,False,True
178,kelmarsh,K01,2022-04-15 03:03:04,0.035,0.0,0.0,0.0,0.0,0.0,False,False,True
179,kelmarsh,K01,2022-04-15 06:55:00,0.018611,0.0,0.0,0.0,0.0,0.0,False,False,True
180,kelmarsh,K01,2022-04-15 11:09:01,0.036111,0.0,0.0,0.0,0.0,0.0,False,False,True
181,kelmarsh,K01,2022-04-15 12:50:00,0.027778,0.0,0.0,0.0,0.0,0.0,False,False,True
182,kelmarsh,K01,2022-04-15 13:01:40,0.423056,0.0,0.0,0.0,0.0,0.0,False,False,True
183,kelmarsh,K01,2022-04-16 18:44:42,0.114444,0.029626,0.140748,0.360807,0.0,0.0,True,True,False
206,kelmarsh,K01,2023-12-24 09:18:21,0.095556,0.317603,1.621852,4.157614,0.0,0.0,True,True,False
284,kelmarsh,K02,2019-03-15 12:13:25,0.094444,0.0,0.0,0.0,0.0,0.0,False,False,True
371,kelmarsh,K02,2023-04-12 12:06:27,0.262222,0.670642,1.593054,4.083789,0.0,0.0,True,True,False
393,kelmarsh,K02,2024-01-24 00:50:46,0.260833,0.340282,1.616621,4.144205,0.0,0.0,True,True,False
394,kelmarsh,K02,2024-01-24 01:09:30,0.3225,0.680563,1.616621,4.144205,0.0,0.0,True,True,False
395,kelmarsh,K02,2024-01-24 02:03:15,0.258333,0.340456,1.61745,4.14633,0.0,0.0,True,True,False
623,kelmarsh,K04,2023-02-10 19:46:05,0.289444,0.631308,1.589793,4.075432,0.0,0.0,True,True,False
624,kelmarsh,K04,2023-02-10 20:16:56,13.226944,11.288739,0.671668,1.721819,10.617071,9.566919,False,False,False
630,kelmarsh,K04,2023-07-24 01:19:57,0.062778,0.030296,0.169803,0.435289,0.0,0.0,True,True,False
631,kelmarsh,K04,2023-07-26 19:27:24,0.137778,0.115159,0.5471,1.40249,0.0,0.0,True,True,False
