tier,rule,n_warned,n_unwarned,med_dur_warned_h,med_dur_unwarned_h,p25_warned_h,p75_warned_h,p25_unwarned_h,p75_unwarned_h,mean_E_warned_mwh,mean_E_unwarned_mwh,mannwhitney_u,mannwhitney_p
T0,same,979,5071,0.03027777777777778,0.16916666666666666,0.029722222222222223,0.09555555555555556,0.03027777777777778,0.34694444444444444,1.5554468964547319,2.0857756143800326,1938460.0,1.535890588677974e-27
T0,any,3796,2254,0.03333333333333333,0.18,0.02861111111111111,0.24298611111111112,0.03333333333333333,0.5651388888888889,1.4382384140016808,2.9459616826086723,3054453.0,1.57959422909911e-77
T1,same,979,3631,0.03027777777777778,0.1922222222222222,0.029722222222222223,0.09555555555555556,0.03361111111111111,0.5856944444444445,1.5554468964547319,2.8051242794066638,897211.0,1.305334303237474e-125
T1,any,2796,1814,0.058333333333333334,0.2586111111111111,0.03027777777777778,0.32145833333333335,0.17423611111111112,0.9160416666666666,1.8631941974177049,3.5825235910556104,1640427.5,1.1256838624984007e-91
T2,same,979,3234,0.03027777777777778,0.17972222222222223,0.029722222222222223,0.09555555555555556,0.03333333333333333,0.4139583333333333,1.5554468964547319,2.431576707899447,814944.5,1.0089701342199245e-117
T2,any,2652,1561,0.04652777777777778,0.25805555555555554,0.03027777777777778,0.2613888888888889,0.17277777777777778,0.5772222222222222,1.666970125836871,3.181099815026656,1286192.0,4.0048251432313425e-94
