tier,tier_variant,events,E_mwh,E_greenbyte_mwh,downtime_h,events_ge_6h,events_ge_24h,E_ge_24h_mwh
T0,n/a,6050,12099.750652150327,12094.00158931089,17603.754166666666,366,143,8071.78558368047
T1,narrow,4635,11957.333359697524,11951.584296858087,17402.14083333334,352,143,8071.78558368047
T2,narrow,4238,9635.646174518735,9629.93938754952,13918.811388888893,271,120,6610.694460562901
