rule,weight,T_act_h,actionable_unacted,short_lead,unwarned,ci_lo,ci_hi,is_reference,ref_label,beyond_lookback,reps,seed,n_turbines,n_events
any,count,0.5,0.5297887491098979,0.09969143128412061,0.37051981960598146,0.4615423963248488,0.5919508461417972,False,,False,2000,20260903,20,4213
any,count,0.5679533066,0.5245668169950154,0.10491336339900315,0.37051981960598146,0.4550717953396942,0.5870815704313099,False,,False,2000,20260903,20,4213
any,count,0.645141917,0.5210064087348683,0.10847377165915029,0.37051981960598146,0.4517022131607995,0.5841209059306754,False,,False,2000,20260903,20,4213
any,count,0.73282097,0.517920721576074,0.11155945881794449,0.37051981960598146,0.44812296958373316,0.58092231397544,False,,False,2000,20260903,20,4213
any,count,0.8324161861,0.5160218371706622,0.11345834322335635,0.37051981960598146,0.44630310426555975,0.5793660542619098,False,,False,2000,20260903,20,4213
any,count,0.9455470507,0.5126987894611915,0.11678139093282702,0.37051981960598146,0.44331743142403823,0.5758699593078671,False,,False,2000,20260903,20,4213
any,count,1.074053148,0.5086636600996914,0.1208165202943271,0.37051981960598146,0.44021615455289614,0.5710188033946784,False,,False,2000,20260903,20,4213
any,count,1.2200240738,0.5058153334915737,0.12366484690244484,0.37051981960598146,0.4374312515776732,0.568298197124197,False,,False,2000,20260903,20,4213
any,count,1.3858334137,0.5015428435793972,0.12793733681462138,0.37051981960598146,0.4336261725535611,0.5639203431372548,False,,False,2000,20260903,20,4213
any,count,1.5741773394,0.4984571564206029,0.13102302397341564,0.37051981960598146,0.4303877514401644,0.5620531185939673,False,,False,2000,20260903,20,4213
any,count,1.7881184502,0.4929978637550439,0.13648231663897464,0.37051981960598146,0.4237240834075986,0.5571476368455026,False,,False,2000,20260903,20,4213
any,count,2.0311355728,0.4868264894374555,0.14265369095656305,0.37051981960598146,0.4169301587301587,0.5510438686524575,False,,False,2000,20260903,20,4213
any,count,2.3071803295,0.47970567291716115,0.1497745074768574,0.37051981960598146,0.4089053470652718,0.5448971147349609,False,,False,2000,20260903,20,4213
any,count,2.6207413942,0.4756705435556611,0.15380963683835747,0.37051981960598146,0.4037229117415288,0.5407748039972757,False,,False,2000,20260903,20,4213
any,count,2.9769174812,0.4678376453833373,0.16164253501068127,0.37051981960598146,0.39535906865276943,0.5333340305375445,False,,False,2000,20260903,20,4213
any,count,3.3815002539,0.4621409921671018,0.16733918822691674,0.37051981960598146,0.3883420147418003,0.5293220756501879,False,,False,2000,20260903,20,4213
any,count,3.841068501,0.45573225729883693,0.1737479230951816,0.37051981960598146,0.3822659926617213,0.5223581791363242,False,,False,2000,20260903,20,4213
any,count,4.3630951121,0.4507476857346309,0.17873249465938762,0.37051981960598146,0.37591421442197265,0.5187906317271072,False,,False,2000,20260903,20,4213
any,count,4.956068592,0.44576311417042486,0.18371706622359368,0.37051981960598146,0.37069568624844085,0.5135581470746138,False,,False,2000,20260903,20,4213
any,count,5.6296310892,0.4355566104913363,0.19392356990268222,0.37051981960598146,0.3586511639676114,0.5044907813030369,False,,False,2000,20260903,20,4213
any,count,6.0,0.43270828388321864,0.1967718965107999,0.37051981960598146,0.3549934694923679,0.5029310061275992,True,T_act primary,False,2000,20260903,20,4213
any,count,6.3947351842,0.4286731545217185,0.20080702587230004,0.37051981960598146,0.35138415870846085,0.4990522356148275,False,,False,2000,20260903,20,4213
any,count,7.2638219855,0.42226441965345357,0.20721576074056497,0.37051981960598146,0.34488619376351176,0.4927185831165898,False,,False,2000,20260903,20,4213
any,count,8.2510234306,0.41419416093045336,0.21528601946356518,0.37051981960598146,0.3361556582219814,0.4849313607407716,False,,False,2000,20260903,20,4213
any,count,9.3723920806,0.4094469499169238,0.22003323047709472,0.37051981960598146,0.33248414598878556,0.4789197570619235,False,,False,2000,20260903,20,4213
any,count,10.646162146,0.39947780678851175,0.2300023736055068,0.37051981960598146,0.3249148184652342,0.4698615813281356,False,,False,2000,20260903,20,4213
any,count,12.0930459871,0.3949679563256587,0.23451222406835986,0.37051981960598146,0.3187622752843423,0.4651020283127666,False,,False,2000,20260903,20,4213
any,count,13.7365709106,0.3895086636600997,0.23997151673391887,0.37051981960598146,0.3122525625644509,0.45978683886614297,False,,False,2000,20260903,20,4213
any,count,15.6034617403,0.3849988131972466,0.24448136719677194,0.37051981960598146,0.30688407969878345,0.4551673236251426,False,,False,2000,20260903,20,4213
any,count,17.3964992039,0.38048896273439353,0.248991217659625,0.37051981960598146,0.3029390093604924,0.4508463480990401,True,duration p25 (E),False,2000,20260903,20,4213
any,count,17.7240753799,0.3797768810823641,0.24970329931165441,0.37051981960598146,0.3028943665033495,0.4498568107757324,False,,False,2000,20260903,20,4213
any,count,20.1328944372,0.370282459055305,0.25919772133871355,0.37051981960598146,0.29352261699905624,0.4411729094872834,False,,False,2000,20260903,20,4213
any,count,22.8690879345,0.3641110847377166,0.26536909565630196,0.37051981960598146,0.28832212561147175,0.4350383015258445,False,,False,2000,20260903,20,4213
any,count,25.9771482231,0.34322335627818656,0.286256824115832,0.37051981960598146,0.26963557834943375,0.41219318815293166,False,,False,2000,20260903,20,4213
any,count,29.5076144591,0.3178257773558035,0.31165440303821507,0.37051981960598146,0.24604216528394549,0.3865571062889674,False,,False,2000,20260903,20,4213
any,count,33.5178944044,0.29646332779492046,0.3330168525990981,0.37051981960598146,0.22687875959045717,0.36521132501571535,False,,False,2000,20260903,20,4213
any,count,38.0731979151,0.27225255162591977,0.35722762876809877,0.37051981960598146,0.2039150374610305,0.33965720989602327,False,,False,2000,20260903,20,4213
any,count,43.2475972981,0.24804177545691905,0.38143840493709946,0.37051981960598146,0.18384104563426287,0.3145482780382829,False,,False,2000,20260903,20,4213
any,count,49.1252317767,0.22169475433183006,0.4077854260621885,0.37051981960598146,0.15932348218869588,0.28629806523607987,False,,False,2000,20260903,20,4213
any,count,52.9437801474,0.19700925706147637,0.43247092333254217,0.37051981960598146,0.13830634416761764,0.257461137888645,True,duration p50 (E),False,2000,20260903,20,4213
any,count,55.801675651,0.17232375979112272,0.45715642060289585,0.37051981960598146,0.11732963609800331,0.22967494185075724,False,,False,2000,20260903,20,4213
any,count,63.3854924007,0.12722525516259198,0.5022549252314266,0.37051981960598146,0.0809229486776063,0.17334535529209502,False,,False,2000,20260903,20,4213
any,count,72.0,0.0,0.6294801803940185,0.37051981960598146,0.0,0.0,False,,False,2000,20260903,20,4213
any,count,167.2878133255,0.0,0.6294801803940185,0.37051981960598146,0.0,0.0,True,duration p75 (E),True,2000,20260903,20,4213
any,energy,0.5,0.4263912432648779,0.044583457340863275,0.5290252993942588,0.26811194828567175,0.5837230646250121,False,,False,2000,20260903,20,4213
any,energy,0.5679533066,0.4170757929711893,0.05389890763455185,0.5290252993942588,0.25544317690612844,0.5773412596267782,False,,False,2000,20260903,20,4213
any,energy,0.645141917,0.4164101008237724,0.05456459978196876,0.5290252993942588,0.2543149684858383,0.577011141519095,False,,False,2000,20260903,20,4213
any,energy,0.73282097,0.4153306650519077,0.05564403555383346,0.5290252993942588,0.25299826891171406,0.5761906033226882,False,,False,2000,20260903,20,4213
any,energy,0.8324161861,0.4145877809281716,0.056386919677569536,0.5290252993942588,0.25161569639171133,0.5760235265239381,False,,False,2000,20260903,20,4213
any,energy,0.9455470507,0.4131708915783681,0.05780380902737303,0.5290252993942588,0.2505034037439549,0.5751467304481512,False,,False,2000,20260903,20,4213
any,energy,1.074053148,0.4118883678168594,0.05908633278888176,0.5290252993942588,0.2491526386140872,0.5745341233420829,False,,False,2000,20260903,20,4213
any,energy,1.2200240738,0.40755520896782643,0.06341949163791472,0.5290252993942588,0.24498503960734644,0.5707648437060928,False,,False,2000,20260903,20,4213
any,energy,1.3858334137,0.4067734204138618,0.06420128019187937,0.5290252993942588,0.24468182169862218,0.5696742101832346,False,,False,2000,20260903,20,4213
any,energy,1.5741773394,0.40648130651334774,0.06449339409239341,0.5290252993942588,0.24440700653497516,0.5693122599742368,False,,False,2000,20260903,20,4213
any,energy,1.7881184502,0.3877331861721809,0.08324151443356026,0.5290252993942588,0.23185013529208642,0.5582991784336613,False,,False,2000,20260903,20,4213
any,energy,2.0311355728,0.3763235416758606,0.09465115892988057,0.5290252993942588,0.2203165163158721,0.5480462981532004,False,,False,2000,20260903,20,4213
any,energy,2.3071803295,0.3750038727744509,0.09597082783129024,0.5290252993942588,0.2184677102949669,0.5471231750603971,False,,False,2000,20260903,20,4213
any,energy,2.6207413942,0.3675846210640964,0.10339007954164475,0.5290252993942588,0.21195124826101402,0.5419844593950596,False,,False,2000,20260903,20,4213
any,energy,2.9769174812,0.3609322424688501,0.11004245813689106,0.5290252993942588,0.20357843456785862,0.5362569912463403,False,,False,2000,20260903,20,4213
any,energy,3.3815002539,0.3586559385058491,0.11231876209989206,0.5290252993942588,0.2004041407692042,0.5348481601959528,False,,False,2000,20260903,20,4213
any,energy,3.841068501,0.35282177571091067,0.11815292489483048,0.5290252993942588,0.19444317507397688,0.5301843794407012,False,,False,2000,20260903,20,4213
any,energy,4.3630951121,0.3478853537561003,0.12308934684964085,0.5290252993942588,0.1890198757116471,0.5258487925950551,False,,False,2000,20260903,20,4213
any,energy,4.956068592,0.34603577220234244,0.12493892840339871,0.5290252993942588,0.1874354568784704,0.5231940851298934,False,,False,2000,20260903,20,4213
any,energy,5.6296310892,0.34401567393703164,0.1269590266687095,0.5290252993942588,0.18463059368081658,0.5212286430003341,False,,False,2000,20260903,20,4213
any,energy,6.0,0.34331433308017306,0.12766036752556809,0.5290252993942588,0.18375380376764205,0.5209644288890044,True,T_act primary,False,2000,20260903,20,4213
any,energy,6.3947351842,0.3420396965053776,0.12893500410036357,0.5290252993942588,0.1813004269394376,0.5200486044830741,False,,False,2000,20260903,20,4213
any,energy,7.2638219855,0.33838674337909064,0.1325879572266505,0.5290252993942588,0.17857968280277434,0.5162740988923383,False,,False,2000,20260903,20,4213
any,energy,8.2510234306,0.3355974676157605,0.13537723298998067,0.5290252993942588,0.17761440989651273,0.5137578913329226,False,,False,2000,20260903,20,4213
any,energy,9.3723920806,0.331104972557094,0.13986972804864717,0.5290252993942588,0.1767608022110824,0.5033415705323647,False,,False,2000,20260903,20,4213
any,energy,10.646162146,0.32277265482580675,0.1482020457799344,0.5290252993942588,0.16861749837674586,0.4985978338376467,False,,False,2000,20260903,20,4213
any,energy,12.0930459871,0.3172410457119711,0.15373365489377006,0.5290252993942588,0.16607497910647895,0.48963573102820623,False,,False,2000,20260903,20,4213
any,energy,13.7365709106,0.31501212196657286,0.1559625786391683,0.5290252993942588,0.16367219941729721,0.48728149228174755,False,,False,2000,20260903,20,4213
any,energy,15.6034617403,0.31394568831849545,0.1570290122872457,0.5290252993942588,0.16292122670012435,0.48590152582110013,False,,False,2000,20260903,20,4213
any,energy,17.3964992039,0.31360983889355687,0.15736486171218428,0.5290252993942588,0.16259386046061167,0.48571681256521826,True,duration p25 (E),False,2000,20260903,20,4213
any,energy,17.7240753799,0.31350857277314786,0.15746612783259328,0.5290252993942588,0.16255465619397072,0.4856713944922278,False,,False,2000,20260903,20,4213
any,energy,20.1328944372,0.29022825618346104,0.1807464444222801,0.5290252993942588,0.13741561244286776,0.4721234819233566,False,,False,2000,20260903,20,4213
any,energy,22.8690879345,0.2816741649054191,0.18930053570032207,0.5290252993942588,0.13067749757046354,0.4626481672238365,False,,False,2000,20260903,20,4213
any,energy,25.9771482231,0.17403324530948036,0.2969414552962608,0.5290252993942588,0.1016955903369199,0.27882908471684015,False,,False,2000,20260903,20,4213
any,energy,29.5076144591,0.16883813475174816,0.30213656585399296,0.5290252993942588,0.09781759890213787,0.2728355010527998,False,,False,2000,20260903,20,4213
any,energy,33.5178944044,0.16145525986887702,0.3095194407368641,0.5290252993942588,0.09068571225583247,0.26356538852125344,False,,False,2000,20260903,20,4213
any,energy,38.0731979151,0.15235298457505117,0.31862171603069,0.5290252993942588,0.0833707440238347,0.2555345967030063,False,,False,2000,20260903,20,4213
any,energy,43.2475972981,0.14736635970839523,0.3236083408973459,0.5290252993942588,0.07880390884137994,0.24809346566682888,False,,False,2000,20260903,20,4213
any,energy,49.1252317767,0.12992373989041245,0.3410509607153287,0.5290252993942588,0.06561323028395873,0.22766014420363476,False,,False,2000,20260903,20,4213
any,energy,52.9437801474,0.10548311374446054,0.3654915868612806,0.5290252993942588,0.05281003602489748,0.18943025448961098,True,duration p50 (E),False,2000,20260903,20,4213
any,energy,55.801675651,0.08596203416671122,0.3850126664390299,0.5290252993942588,0.03978692617447278,0.16583739060189623,False,,False,2000,20260903,20,4213
any,energy,63.3854924007,0.06315175419309572,0.40782294641264544,0.5290252993942588,0.022288265012305568,0.14112227396529464,False,,False,2000,20260903,20,4213
