rule,min_warning_rows,n_events,E_mwh,n_prior48_zero,frac_rr_gt1_count,frac_rr_gt1_energy,frac_rr_ge2_count,frac_rr_ge2_energy,median_rr_count,median_rr_energy,frac_laplace_gt0_count,frac_laplace_gt0_energy,frac_laplace_gt1645_count,frac_laplace_gt1645_energy,median_laplace_count,median_laplace_energy
same,3,799,840.5458725555463,229,0.7634543178973717,0.9920969721750528,0.6670838548185232,0.9912191321202238,3.3333333333333335,inf,0.8335419274092616,0.9924767310679841,0.7083854818523154,0.9862702852018944,3.3474897349762243,2.9405092592592594
any,3,1752,2350.237351231153,553,0.7277397260273972,0.7765245312372393,0.6484018264840182,0.7560443415552073,4.0,8.0,0.7831050228310502,0.8407132571970701,0.6278538812785388,0.5714140380924848,2.591426305964916,2.426103395061729
