tier,tier_variant,rule,lookback_h,T_act_h,planned_duration,planned_duration_h,n_actionable_events,E_actionable_mwh,E_planned_mwh,recoverable_mwh,recoverable_pct_of_gross,recoverable_pct_of_tier_E,recoverable_pct_of_actionable_E,n_events_clipped_at_zero,mwh_clipped_away
T0,primary,same,72,1,median,0.7918055555555555,791,1135.7896064311844,127.52220456066047,1082.222394678301,0.12503638188550095,8.944171047739502,95.28370294554823,141,-73.95499280777739
T0,primary,same,72,1,p75,2.0297916666666667,791,1135.7896064311844,326.90286941795694,1044.0489322651483,0.12062594679595394,8.628681385922638,91.92274047529818,154,-235.16219525192082
T0,primary,same,72,6,median,0.7918055555555555,698,706.6317488604076,105.48654322474235,666.4309923935815,0.07699722393013977,5.507807652839074,94.31093259938316,124,-65.28578675791621
T0,primary,same,72,6,p75,2.0297916666666667,698,706.6317488604076,270.4145037639006,639.2288003851877,0.07385437299228303,5.282991515792816,90.4613755914702,132,-203.01155528868054
T0,primary,same,72,24,median,0.7918055555555555,600,305.6533869900689,85.4180074044816,277.113168519776,0.03201673531699521,2.290238670914498,90.66255448652359,110,-56.87778893418877
T0,primary,same,72,24,p75,2.0297916666666667,600,305.6533869900689,218.96885971106758,262.8531255327606,0.030369177301751836,2.172384647331945,85.99712508381302,113,-176.16859825375934
T0,primary,any,72,1,median,0.7918055555555555,3056,4815.630412887209,1194.021456109093,4275.827703434268,0.49401493466796703,35.33814725904606,88.79061175441613,989,-654.2187466561529
T0,primary,any,72,1,p75,2.0297916666666667,3056,4815.630412887209,3060.8711752861495,3980.566186350817,0.45990139942079344,32.89791914549416,82.65929577357807,1116,-2225.8069487497587
T0,primary,any,72,6,median,0.7918055555555555,2358,4124.921124525477,1007.072005957125,3675.3470915025287,0.4246373987035085,30.37539530493844,89.10102716025469,785,-557.4979729341763
T0,primary,any,72,6,p75,2.0297916666666667,2358,4124.921124525477,2581.6267025189272,3430.964083900183,0.3964021974961103,28.355659406009693,83.17647732706342,892,-1887.6696618936326
T0,primary,any,72,24,median,0.7918055555555555,1816,2948.7024727716257,766.2825404755381,2616.4379558314185,0.30229455335038097,21.623899789756692,88.73183985131277,620,-434.0180235353315
T0,primary,any,72,24,p75,2.0297916666666667,1816,2948.7024727716257,1964.363477947685,2439.4428404837977,0.28184512544785456,20.161100097135208,82.72936530591537,697,-1455.1038456598571
T1,primary,same,72,1,median,0.7918055555555555,791,1135.7896064311844,127.52220456066047,1082.222394678301,0.12503638188550095,9.243294722382533,95.28370294554823,141,-73.95499280777739
T1,primary,same,72,1,p75,2.0297916666666667,791,1135.7896064311844,326.90286941795694,1044.0489322651483,0.12062594679595394,8.917254007097345,91.92274047529818,154,-235.16219525192082
T1,primary,same,72,6,median,0.7918055555555555,698,706.6317488604076,105.48654322474235,666.4309923935815,0.07699722393013977,5.692007580987879,94.31093259938316,124,-65.28578675791621
T1,primary,same,72,6,p75,2.0297916666666667,698,706.6317488604076,270.4145037639006,639.2288003851877,0.07385437299228303,5.459672823303286,90.4613755914702,132,-203.01155528868054
T1,primary,same,72,24,median,0.7918055555555555,600,305.6533869900689,85.4180074044816,277.113168519776,0.03201673531699521,2.3668320861563346,90.66255448652359,110,-56.87778893418877
