group,kind,rule,n_warned,E_warned_mwh,E_family_T2_mwh,lead_p5_h,lead_p25_h,lead_median_h,lead_p75_h,lead_p95_h,lead_ew_median_h,lead_mean_h,frac_ge_6h_count,frac_ge_6h_energy
pitch,family,same,46,545.1979848678685,2254.8958812783226,0.3249305555555555,1.6640277777777777,7.5713888888888885,19.882708333333333,35.59597222222222,1.7451561101135091,12.106425120772947,0.5434782608695652,0.20386037474495775
tower,family,same,32,27.829048802664683,1024.313120295062,0.6524722222222223,3.608402777777778,35.72541666666667,42.028333333333336,62.70497222222221,36.272771643774526,29.959019097222225,0.71875,0.6220061639450762
drivetrain,family,same,33,190.11157562911708,1009.6953479997075,0.20227777777777778,1.0377777777777777,11.311111111111112,39.380833333333335,57.85322222222221,0.6879424836308464,21.050622895622897,0.5757575757575758,0.10425280817182435
anemometry,family,same,851,331.94601649505364,395.2717088257754,0.0008333333333333334,3.4295833333333334,41.97888888888889,64.33888888888889,71.48097222222222,3.214244197252566,37.09296546546546,0.7262044653349001,0.4044611191534467
All same-component,overall,same,979,1522.7825116291824,9386.501584975991,0.0008333333333333334,3.0388888888888888,37.992777777777775,62.74291666666667,71.35727777777777,3.0369211827595946,35.021424923391216,0.7129724208375894,0.46403983724793507
All any-warning,overall,any,2652,4420.804773719382,9386.501584975991,0.06666666666666667,2.6990972222222225,30.137777777777778,57.641736111111115,70.76209722222221,24.36567603556177,31.9231221719457,0.6874057315233786,0.7289443204457092
