population,rule,hours_before_lo,hours_before_hi,n_warnings,n_anchors,rate_per_anchor_hour
controls_of_warned,same,46,47,0,973,0.0
controls_of_warned,same,47,48,0,973,0.0
controls_of_warned,same,48,49,0,973,0.0
controls_of_warned,same,49,50,2,973,0.0020554984583761563
controls_of_warned,same,50,51,0,973,0.0
controls_of_warned,same,51,52,0,973,0.0
controls_of_warned,same,52,53,0,973,0.0
controls_of_warned,same,53,54,1,973,0.0010277492291880781
controls_of_warned,same,54,55,0,973,0.0
controls_of_warned,same,55,56,0,973,0.0
controls_of_warned,same,56,57,1,973,0.0010277492291880781
controls_of_warned,same,57,58,2,973,0.0020554984583761563
controls_of_warned,same,58,59,0,973,0.0
controls_of_warned,same,59,60,0,973,0.0
controls_of_warned,same,60,61,0,973,0.0
controls_of_warned,same,61,62,0,973,0.0
controls_of_warned,same,62,63,0,973,0.0
controls_of_warned,same,63,64,0,973,0.0
controls_of_warned,same,64,65,0,973,0.0
controls_of_warned,same,65,66,0,973,0.0
controls_of_warned,same,66,67,0,973,0.0
controls_of_warned,same,67,68,0,973,0.0
controls_of_warned,same,68,69,0,973,0.0
controls_of_warned,same,69,70,1,973,0.0010277492291880781
controls_of_warned,same,70,71,0,973,0.0
controls_of_warned,same,71,72,0,973,0.0
events_all,same,0,1,3595,4213,0.8533111796819368
events_all,same,1,2,1380,4213,0.327557559933539
events_all,same,2,3,881,4213,0.20911464514597675
events_all,same,3,4,735,4213,0.17446000474721102
events_all,same,4,5,809,4213,0.19202468549727036
events_all,same,5,6,583,4213,0.13838120104438642
events_all,same,6,7,528,4213,0.12532637075718014
events_all,same,7,8,464,4213,0.1101352955138856
events_all,same,8,9,530,4213,0.1258010918585331
events_all,same,9,10,391,4213,0.09280797531450273
events_all,same,10,11,334,4213,0.0792784239259435
events_all,same,11,12,265,4213,0.06290054592926655
events_all,same,12,13,294,4213,0.06978400189888441
events_all,same,13,14,283,4213,0.06717303584144316
events_all,same,14,15,298,4213,0.07073344410159031
events_all,same,15,16,311,4213,0.07381913126038453
events_all,same,16,17,287,4213,0.06812247804414906
events_all,same,17,18,266,4213,0.06313790647994304
events_all,same,18,19,258,4213,0.06123902207453121
events_all,same,19,20,311,4213,0.07381913126038453
events_all,same,20,21,272,4213,0.0645620697840019
events_all,same,21,22,254,4213,0.0602895798718253
events_all,same,22,23,232,4213,0.0550676477569428
events_all,same,23,24,445,4213,0.10562544505103252
events_all,same,24,25,355,4213,0.08426299549014954
events_all,same,25,26,357,4213,0.08473771659150249
events_all,same,26,27,430,4213,0.10206503679088536
events_all,same,27,28,327,4213,0.07761690007120817
events_all,same,28,29,363,4213,0.08616187989556136
events_all,same,29,30,381,4213,0.09043436980773796
events_all,same,30,31,241,4213,0.05720389271303109
events_all,same,31,32,286,4213,0.06788511749347259
events_all,same,32,33,265,4213,0.06290054592926655
events_all,same,33,34,247,4213,0.05862805601708996
events_all,same,34,35,277,4213,0.06574887253738429
events_all,same,35,36,340,4213,0.08070258723000237
events_all,same,36,37,230,4213,0.05459292665558984
events_all,same,37,38,199,4213,0.04723474958461903
events_all,same,38,39,225,4213,0.053406123902207454
events_all,same,39,40,262,4213,0.06218846427723712
events_all,same,40,41,258,4213,0.06123902207453121
events_all,same,41,42,231,4213,0.05483028720626632
events_all,same,42,43,185,4213,0.04391170187514835
events_all,same,43,44,221,4213,0.052456681699501545
events_all,same,44,45,274,4213,0.06503679088535486
events_all,same,45,46,205,4213,0.0486589128886779
events_all,same,46,47,222,4213,0.05269404225017802
events_all,same,47,48,234,4213,0.05554236885829575
events_all,same,48,49,196,4213,0.046522667932589606
events_all,same,49,50,209,4213,0.04960835509138381
events_all,same,50,51,308,4213,0.0731070496083551
events_all,same,51,52,184,4213,0.04367434132447187
events_all,same,52,53,238,4213,0.056491811061001665
events_all,same,53,54,191,4213,0.045335865179207215
events_all,same,54,55,172,4213,0.04082601471635414
events_all,same,55,56,231,4213,0.05483028720626632
events_all,same,56,57,152,4213,0.03607880370282459
events_all,same,57,58,177,4213,0.04201281746973653
events_all,same,58,59,151,4213,0.035841443152148114
events_all,same,59,60,181,4213,0.04296225967244244
events_all,same,60,61,150,4213,0.03560408260147164
events_all,same,61,62,136,4213,0.03228103489200095
events_all,same,62,63,240,4213,0.056966532162354616
events_all,same,63,64,228,4213,0.05411820555423689
events_all,same,64,65,240,4213,0.056966532162354616
events_all,same,65,66,414,4213,0.09826726798006172
events_all,same,66,67,332,4213,0.07880370282459055
events_all,same,67,68,299,4213,0.0709708046522668
events_all,same,68,69,296,4213,0.07025872300023736
events_all,same,69,70,316,4213,0.07500593401376691
events_all,same,70,71,235,4213,0.05577972940897223
events_all,same,71,72,277,4213,0.06574887253738429
controls_all,same,0,1,5,4180,0.0011961722488038277
controls_all,same,1,2,0,4180,0.0
controls_all,same,2,3,0,4180,0.0
controls_all,same,3,4,2,4180,0.0004784688995215311
controls_all,same,4,5,4,4180,0.0009569377990430622
controls_all,same,5,6,1,4180,0.00023923444976076556
controls_all,same,6,7,0,4180,0.0
controls_all,same,7,8,0,4180,0.0
controls_all,same,8,9,0,4180,0.0
controls_all,same,9,10,0,4180,0.0
controls_all,same,10,11,15,4180,0.0035885167464114833
controls_all,same,11,12,0,4180,0.0
controls_all,same,12,13,0,4180,0.0
controls_all,same,13,14,0,4180,0.0
controls_all,same,14,15,0,4180,0.0
controls_all,same,15,16,0,4180,0.0
controls_all,same,16,17,2,4180,0.0004784688995215311
controls_all,same,17,18,0,4180,0.0
controls_all,same,18,19,0,4180,0.0
controls_all,same,19,20,0,4180,0.0
controls_all,same,20,21,0,4180,0.0
controls_all,same,21,22,0,4180,0.0
controls_all,same,22,23,0,4180,0.0
controls_all,same,23,24,0,4180,0.0
controls_all,same,24,25,1,4180,0.00023923444976076556
controls_all,same,25,26,1,4180,0.00023923444976076556
controls_all,same,26,27,3,4180,0.0007177033492822966
controls_all,same,27,28,0,4180,0.0
controls_all,same,28,29,0,4180,0.0
controls_all,same,29,30,1,4180,0.00023923444976076556
controls_all,same,30,31,1,4180,0.00023923444976076556
controls_all,same,31,32,0,4180,0.0
controls_all,same,32,33,0,4180,0.0
controls_all,same,33,34,0,4180,0.0
controls_all,same,34,35,0,4180,0.0
controls_all,same,35,36,0,4180,0.0
controls_all,same,36,37,0,4180,0.0
controls_all,same,37,38,0,4180,0.0
controls_all,same,38,39,0,4180,0.0
controls_all,same,39,40,0,4180,0.0
controls_all,same,40,41,0,4180,0.0
controls_all,same,41,42,0,4180,0.0
controls_all,same,42,43,0,4180,0.0
controls_all,same,43,44,0,4180,0.0
controls_all,same,44,45,0,4180,0.0
controls_all,same,45,46,0,4180,0.0
controls_all,same,46,47,0,4180,0.0
controls_all,same,47,48,1,4180,0.00023923444976076556
controls_all,same,48,49,0,4180,0.0
controls_all,same,49,50,2,4180,0.0004784688995215311
controls_all,same,50,51,0,4180,0.0
controls_all,same,51,52,0,4180,0.0
controls_all,same,52,53,0,4180,0.0
controls_all,same,53,54,4,4180,0.0009569377990430622
controls_all,same,54,55,0,4180,0.0
controls_all,same,55,56,2,4180,0.0004784688995215311
controls_all,same,56,57,2,4180,0.0004784688995215311
controls_all,same,57,58,2,4180,0.0004784688995215311
controls_all,same,58,59,0,4180,0.0
controls_all,same,59,60,0,4180,0.0
controls_all,same,60,61,0,4180,0.0
controls_all,same,61,62,0,4180,0.0
controls_all,same,62,63,1,4180,0.00023923444976076556
controls_all,same,63,64,0,4180,0.0
controls_all,same,64,65,1,4180,0.00023923444976076556
controls_all,same,65,66,0,4180,0.0
controls_all,same,66,67,2,4180,0.0004784688995215311
controls_all,same,67,68,6,4180,0.0014354066985645933
controls_all,same,68,69,3,4180,0.0007177033492822966
controls_all,same,69,70,1,4180,0.00023923444976076556
controls_all,same,70,71,1,4180,0.00023923444976076556
controls_all,same,71,72,3,4180,0.0007177033492822966
events_warned,any,0,1,5457,2652,2.0576923076923075
events_warned,any,1,2,1956,2652,0.7375565610859729
events_warned,any,2,3,1308,2652,0.49321266968325794
events_warned,any,3,4,974,2652,0.36726998491704377
events_warned,any,4,5,1022,2652,0.385369532428356
events_warned,any,5,6,751,2652,0.28318250377073906
events_warned,any,6,7,679,2652,0.2560331825037707
events_warned,any,7,8,602,2652,0.22699849170437406
events_warned,any,8,9,659,2652,0.24849170437405732
events_warned,any,9,10,468,2652,0.17647058823529413
events_warned,any,10,11,437,2652,0.1647812971342383
events_warned,any,11,12,335,2652,0.12631975867269984
events_warned,any,12,13,392,2652,0.1478129713423831
events_warned,any,13,14,341,2652,0.12858220211161386
events_warned,any,14,15,376,2652,0.14177978883861236
events_warned,any,15,16,370,2652,0.13951734539969834
