tier,lookback_h,n,any_pct,same_pct,any_pct_E,same_pct_E,med_lead_any,med_lead_same
T0,24,6050,54.92561983471075,15.619834710743802,31.91446688428161,11.345621701588554,3.1955555555555555,4.782777777777778
T0,48,6050,59.60330578512397,16.016528925619834,41.614104037969746,11.466842546584653,9.784583333333334,19.770833333333332
T0,72,6050,62.743801652892564,16.18181818181818,45.12120271321563,12.585238782243486,22.999583333333334,37.992777777777775
T1,24,4635,52.14670981661273,20.388349514563107,31.739392929707837,11.480753229273493,3.548611111111111,4.782777777777778
T1,48,4635,57.02265372168285,20.906148867313913,41.482514747971095,11.603417869806096,16.4425,19.770833333333332
T1,72,4635,60.43149946062567,21.121898597626753,44.99303019593447,12.73513471458241,29.9675,37.992777777777775
T2,24,4238,54.648419065596975,22.29825389334592,32.29904906038411,14.247014792415163,3.3090277777777777,4.782777777777778
T2,48,4238,59.39122227465786,22.864558754129305,43.764970852369835,14.399235201065547,14.533055555555556,19.770833333333332
T2,72,4238,62.69466729589429,23.10051911278905,47.648910345403465,15.803636663788556,30.13111111111111,37.992777777777775
T2_wide_grid,24,4213,54.90149537146927,22.430572038927128,31.42043946021034,14.625171299451514,3.281111111111111,4.782777777777778
T2_wide_grid,48,4213,59.62497032993117,23.000237360550678,43.11043970860433,14.781432072969459,14.400694444444444,19.770833333333332
T2_wide_grid,72,4213,62.94801803940185,23.237597911227155,47.0974700605741,16.223110365916774,30.137777777777778,37.992777777777775
