analysis,scope,n_events,E_mwh,n_turbines,n_blocks,point_pct,ci_lo_pct,ci_hi_pct,boot_mean_pct,boot_sd_pp,reps,seed,n_finite_reps,note
block_detail,kelmarsh_WT06_2016,11,1.0412946978147823,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT06_2017,37,57.85482230186523,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT06_2018,16,3.151198127911568,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT06_2019,6,16.294590835336283,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT06_2020,23,16.243930810501915,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT06_2021,13,91.07824552320162,,,,,,,,,,,1 actionable events / 0.1 MWh actionable
block_detail,kelmarsh_WT06_2022,16,136.25655310356908,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT06_2023,12,1.0983273880576723,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT06_2024,17,163.94762951827704,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT01_2016,18,21.967524181945333,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT01_2017,12,13.804629159866185,,,,,,,,,,,1 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT01_2018,6,11.78964864686807,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT01_2019,21,162.50184723045524,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT01_2020,40,57.45008740126131,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT01_2021,9,33.65864563681044,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT01_2022,17,81.91120244696232,,,,,,,,,,,1 actionable events / 0.3 MWh actionable
block_detail,penmanshiel_WT01_2023,7,1.3000417948527017,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT02_2016,24,115.23443278885999,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT02_2017,24,46.40516980681656,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT02_2018,34,175.84423415829662,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT02_2019,29,6.60926295412309,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT02_2020,83,154.246180837481,,,,,,,,,,,4 actionable events / 0.1 MWh actionable
block_detail,penmanshiel_WT02_2021,20,6.484427746564056,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT02_2022,57,95.05376712463291,,,,,,,,,,,5 actionable events / 2.3 MWh actionable
block_detail,penmanshiel_WT02_2023,34,35.50633719494812,,,,,,,,,,,1 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT04_2016,34,117.69512445476212,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT04_2017,10,30.280068899328032,,,,,,,,,,,2 actionable events / 3.4 MWh actionable
block_detail,penmanshiel_WT04_2018,12,21.117190878917533,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT04_2019,9,0.47188943559794494,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT04_2020,26,29.580472675294523,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT04_2021,28,63.83314129313206,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT04_2022,12,66.64042868117225,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT04_2023,75,267.9017524872747,,,,,,,,,,,26 actionable events / 210.5 MWh actionable
block_detail,penmanshiel_WT05_2016,32,156.64885500199793,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT05_2017,11,53.77777041261275,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT05_2018,9,2.848062719796658,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT05_2019,20,73.25233001158361,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT05_2020,16,8.941038187112763,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT05_2021,9,0.6783409015340274,,,,,,,,,,,7 actionable events / 0.3 MWh actionable
block_detail,penmanshiel_WT05_2022,59,201.1276863993578,,,,,,,,,,,27 actionable events / 31.8 MWh actionable
block_detail,penmanshiel_WT05_2023,19,25.175598107867927,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT06_2016,24,177.2209738558396,,,,,,,,,,,1 actionable events / 0.2 MWh actionable
block_detail,penmanshiel_WT06_2017,30,83.70036474102396,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT06_2018,17,191.5670118801891,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT06_2019,8,0.805417955773732,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT06_2020,27,9.17067973197785,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT06_2021,19,42.06252438436017,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT06_2022,28,3.9786410436392354,,,,,,,,,,,8 actionable events / 1.9 MWh actionable
block_detail,penmanshiel_WT06_2023,26,191.36959772617473,,,,,,,,,,,1 actionable events / 9.4 MWh actionable
block_detail,penmanshiel_WT07_2016,18,0.7588597449835144,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT07_2017,14,59.556766863691,,,,,,,,,,,4 actionable events / 16.0 MWh actionable
block_detail,penmanshiel_WT07_2018,4,0.9189389221191406,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT07_2019,15,34.64353332125827,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT07_2020,23,75.90794058701321,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT07_2021,9,85.82195948560735,,,,,,,,,,,1 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT07_2022,26,92.70434191192481,,,,,,,,,,,8 actionable events / 49.6 MWh actionable
block_detail,penmanshiel_WT07_2023,23,150.9087770320548,,,,,,,,,,,6 actionable events / 128.5 MWh actionable
block_detail,penmanshiel_WT08_2016,15,1.3907240343332308,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT08_2017,11,4.977260260378518,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT08_2018,14,3.785542242293325,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT08_2019,38,55.665450013311506,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT08_2020,29,32.84306177442651,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT08_2021,15,10.369979754582225,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT08_2022,149,65.23121769489595,,,,,,,,,,,110 actionable events / 0.1 MWh actionable
block_detail,penmanshiel_WT08_2023,56,66.86778238982436,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT09_2016,34,13.327373175647256,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT09_2017,28,7.360386982752478,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT09_2018,19,4.327267083628973,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT09_2019,10,7.027244854343879,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT09_2020,32,58.73433414855004,,,,,,,,,,,1 actionable events / 4.9 MWh actionable
block_detail,penmanshiel_WT09_2021,12,0.5057316569287995,,,,,,,,,,,5 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT09_2022,13,82.03152376934196,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT09_2023,39,17.08049162198989,,,,,,,,,,,1 actionable events / 0.3 MWh actionable
block_detail,penmanshiel_WT10_2016,24,20.41036442538182,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT10_2017,8,1.3326328922986983,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT10_2018,14,22.894249353906805,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT10_2019,5,0.0,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
