population,tier,tier_variant,sub_pop,rule,lookback_h,T_act_h,weight,control_offset_d,n_events,E_mwh,unwarned,short_lead,actionable_unacted,warned,n_controls_matched,p_control_warned,p_control_actionable,excess_warned,excess_actionable,enrichment_warned_x
all,T2,primary,all,same,72,1,count,45,4213,9386.501584975991,0.7676240208877284,0.04462378352717778,0.18775219558509376,0.23237597911227154,4180,0.007416267942583732,0.007177033492822967,0.22664053812708967,0.18188052470980526,31.333277183525645
all,T2,primary,all,same,72,6,energy,45,4213,9386.501584975991,0.8377688963408324,0.08694940872061467,0.07528169493855308,0.16223110365916776,4180,0.008649271393744938,0.008527187154557391,0.15492179289699448,0.06732863162673713,18.75662079195383
all,T2,primary,all,same,72,6,count,45,4213,9386.501584975991,0.7676240208877284,0.06669831474009019,0.16567766437218134,0.23237597911227154,4180,0.007416267942583732,0.006937799043062201,0.22664053812708967,0.15984886462917805,31.333277183525645
all,T2,primary,all,same,72,24,energy,45,4213,9386.501584975991,0.8377688963408324,0.12966802526164242,0.03256307839752532,0.16223110365916776,4180,0.008649271393744938,0.00805744127741509,0.15492179289699448,0.024704693739190278,18.75662079195383
all,T2,primary,all,same,72,24,count,45,4213,9386.501584975991,0.7676240208877284,0.089959648706385,0.14241633040588655,0.23237597911227154,4180,0.007416267942583732,0.005980861244019139,0.22664053812708967,0.13725638052866565,31.333277183525645
all,T2,primary,all,any,72,6,energy,45,4213,9386.501584975991,0.529025299394259,0.12766036752556773,0.34331433308017334,0.47097470060574115,4180,0.16521840958821304,0.16349711468826325,0.3662710037324882,0.21496305816673686,2.8506187765612125
all,T2,primary,all,any,72,6,count,45,4213,9386.501584975991,0.37051981960598146,0.1967718965107999,0.43270828388321864,0.6294801803940185,4180,0.18516746411483254,0.17272727272727273,0.5452810199785665,0.3142627607379566,3.399518286882426
all,T2,primary,all,same,72,6,energy,30,4213,9386.501584975991,0.8377688963408324,0.08694940872061467,0.07528169493855308,0.16223110365916776,4152,0.0047986294827980286,0.004467913891789791,0.15819157694141112,0.07113159086975539,33.80779954791854
all,T2,primary,all,same,72,6,count,30,4213,9386.501584975991,0.7676240208877284,0.06669831474009019,0.16567766437218134,0.23237597911227154,4152,0.018063583815028903,0.017822736030828516,0.21825486025856058,0.1505379260601513,12.864334203655352
all,T2,primary,all,same,72,6,energy,60,4213,9386.501584975991,0.8377688963408324,0.08694940872061467,0.07528169493855308,0.16223110365916776,4174,0.021136544481593245,0.021044809842298187,0.14414120619392287,0.055402827056382185,7.675384394097469
