anchor_d,events,matched,match_rate_pct,exact_anchor_pct,median_abs_dev_d,in_coverage_pct,ctrl_any72_pct,ctrl_same72_pct,ctrl_any72_pct_E,ctrl_same72_pct_E
45,6050,6015,99.42148760330579,72.52892561983471,0.0,99.40495867768595,17.240232751454695,0.515378221113882,13.718642842536847,0.6666384401537231
30,6050,5981,98.85950413223141,70.18181818181817,0.0,98.85950413223141,21.451262330713927,1.2539709078749373,12.626216237461,0.3713530028938483
60,6050,6011,99.35537190082644,78.80991735537191,0.0,98.61157024793388,19.4310430876726,0.3826318416236899,19.117533654780882,1.6120109517888959
